,molecule_chembl_id,IC50,units,smiles,pIC50
34,CHEMBL433911,1.0,nM,N=C(N)N1CCCC(C[C@H](NC(=O)[C@@H]2CC[C@H]3CN(C(=O)CCc4ccccc4)CC(=O)N32)C(=O)c2nc3ccccc3s2)C1,9.0
35,CHEMBL4640512,1.0,nM,Nc1nccc2cc(CNC(=O)[C@@H]3CCCN3C(=O)[C@@H](CC3CCCCC3)NC3CCCCC3)ccc12,9.0
36,CHEMBL490106,1.0,nM,COc1ccccc1C(=O)n1nc(-c2ccco2)nc1SC,9.0
37,CHEMBL333154,1.0,nM,N=C(N)N1CCC([C@H](NC(=O)[C@@H]2CC[C@H]3CN(C(=O)CCc4ccccc4)CC(=O)N32)C(=O)c2nccs2)CC1,9.0
38,CHEMBL1488483,1.0,nM,O=C(c1cccnc1)n1nc(-c2ccco2)nc1NCc1cccs1,9.0
39,CHEMBL404873,1.0,nM,N=C(N)N1CCC[C@@H](C[C@H](NC(=O)[C@@H]2CC[C@H]3CN(C(=O)CCc4ccccc4)CC(=O)N32)C(=O)c2nc3ccccc3s2)C1,9.0
40,CHEMBL377303,1.0,nM,N=C(N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)s1,9.0
41,CHEMBL85282,1.1,nM,CCOC(=O)[C@]1(NS(=O)(=O)Cc2ccccc2)CCCN(CC(=O)N[C@H]2CCCN(C(=N)N)[C@@H]2O)C1=O,8.958607314841775
42,CHEMBL112726,1.1,nM,CCCC(CCC)C(=O)N[C@@H](CC(=O)OC)C(=O)N1CCCC1C(=O)N[C@H]1CCCN(C(=N)N)C1O,8.958607314841775
43,CHEMBL141574,1.1,nM,CCCC(CCC)C(=O)N[C@@H](CC(=O)OC)C(=O)N1CCC[C@@H]1C(=O)N[C@H]1CCCC(C(=N)N)C1O,8.958607314841775
44,CHEMBL4115099,1.1,nM,COc1cc(C(=O)N2CC(C)(C)OCC2CO)cc2nc(N[C@H](CF)c3cccc(Cl)c3)oc12,8.958607314841775
45,CHEMBL337365,1.12,nM,COC(=O)c1ccccc1CS(=O)(=O)N[C@H]1CCCCN(CC(=O)N[C@H]2CCCC(C(=N)N)C2O)C1=O,8.950781977329818
46,CHEMBL4094030,1.18,nM,Cn1c(CNc2ccc(C(=N)N)cc2F)nc2cc(C(=O)N(CCC(=O)O)c3cc(F)cc(F)c3)ccc21,8.928117992693874
47,CHEMBL3941250,1.2,nM,COc1cc(C(=O)N2CC(C)OCC2CCO)cc2nc(NC(CF)c3cccc(Cl)c3)oc12,8.920818753952375
48,CHEMBL141676,1.2,nM,CCCC(CCC)C(=O)N[C@@H](CC(=O)OC)C(=O)N1CCC[C@H]1C(=O)N[C@H](C=O)CCCN=C(N)N,8.920818753952375
49,CHEMBL284436,1.2,nM,N=C(N)NCCC[C@@H](CCl)NC(=O)[C@@H]1CCN2CC[C@@](N)(Cc3ccccc3)CN12,8.920818753952375
50,CHEMBL206205,1.29,nM,N=C(N)c1coc(CNC(=O)[C@@H]2C=CCN2C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)c1,8.88941028970075
51,CHEMBL381709,1.39,nM,N=C(N)c1csc(CNC(=O)[C@@H]2C=CCN2C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)n1,8.856985199745905
52,CHEMBL4114862,1.4,nM,COc1cc(C(=O)N2CC(C)OCC2C2CC(O)C2)cc2nc(N[C@H](CF)c3cccc(Cl)c3)oc12,8.853871964321762
53,CHEMBL382414,1.4,nM,COc1cc(C)c(S(=O)(=O)NC[C@@H](O)[C@H](Cc2ccccc2)NCc2cc(Cl)ccc2-n2cnnn2)c(C)c1C,8.853871964321762
54,CHEMBL4113607,1.4,nM,COc1cc(C(=O)N2C[C@@H](C)OC[C@H]2C2CC(O)C2)cc2nc(NC(CF)c3cccc(Cl)c3)oc12,8.853871964321762
55,CHEMBL4101764,1.42,nM,Cc1cccc(N(CCC(=O)O)C(=O)c2ccc3c(c2)nc(CNc2ccc(C(=N)N)cc2F)n3C)n1,8.847711655616944
56,CHEMBL265315,1.5,nM,NC(N)=NCCC[C@@H](CCl)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)Cc1ccccc1,8.823908740944319
57,CHEMBL150338,1.5,nM,NC(N)=NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)Cc1ccccc1)C(=O)c1nccs1,8.823908740944319
58,CHEMBL307440,1.5,nM,N=C(N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)Cc1ccccc1)C(=O)CCl,8.823908740944319
59,CHEMBL4095408,1.54,nM,Cc1cccc(N(CCC(=O)O)C(=O)c2ccc3c(c2)nc(CNc2ccc(C(=N)N)cc2F)n3C)c1C,8.812479279163536
60,CHEMBL568275,1.6,nM,CC(C)[C@@H](Cl)[C@@H](NC(=O)[C@H](O)Cc1ccccc1)C(=O)N1[C@H](C(=O)NCc2ccc(C(=N)N)cc2)C[C@@H]2CCCC[C@@H]21,8.795880017344075
61,CHEMBL3952386,1.6,nM,COc1cc(C(=O)N2CC(C)OCC2C2CC(O)C2)cc2nc(N[C@@H](CF)c3cccc(Cl)c3)oc12,8.795880017344075
62,CHEMBL246703,1.6,nM,CC(C)[C@H](Cl)[C@@H](NC(=O)[C@H](O)Cc1ccccc1)C(=O)N1[C@H](C(=O)NCc2ccc(C(=N)N)cc2)C[C@@H]2CCCC[C@@H]21,8.795880017344075
63,CHEMBL3953757,1.62,nM,CCn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3cc(C)ccn3)ccc21,8.790484985457368
64,CHEMBL3559601,1.7,nM,N=C(N)c1ccc(CNC(=O)[C@@H]2CC=NN2C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)cn1,8.769551078621726
65,CHEMBL295863,1.7,nM,NC(N)=NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1CCCCC1)C(=O)C[n+]1ccccc1,8.769551078621726
66,CHEMBL342838,1.7,nM,CCCC(CCC)C(=O)N[C@@H](CC(=O)OC)C(=O)N1CCC[C@H]1C(=O)N[C@H](C=O)CC1CCCN(C(=N)N)C1,8.769551078621726
67,CHEMBL3944942,1.7,nM,COc1cc(C(=O)N2CC(C)(C)OCC2CO)cc2nc(NC(CF)c3cccc(Cl)c3)oc12,8.769551078621726
68,CHEMBL206418,1.7,nM,N=C(N)c1ccc(CNC(=O)[C@@H]2C=CCN2C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)cc1,8.769551078621726
69,CHEMBL3948587,1.7,nM,COc1cc(C(=O)N2CC3CCN3C(=O)C2C)cc2nc(NC(CF)c3cccc(Cl)c3)oc12,8.769551078621726
70,CHEMBL207981,1.76,nM,Cc1cc(CNC(=O)[C@@H]2C=CCN2C(=O)C(CC2CCCCC2)NCC(=O)O)sc1C(=N)N,8.75448733218585
71,CHEMBL377681,1.8,nM,N=C(N)c1ccc(CNC(=O)[C@@H]2C=CCN2C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)cn1,8.744727494896694
72,CHEMBL342914,1.8,nM,N=C(N)N1CCCC(C[C@@H](C=O)NC(=O)CN2CCCC[C@H](NS(=O)(=O)Cc3ccccc3)C2=O)C1,8.744727494896694
73,CHEMBL3799876,1.81,nM,CCn1c(CNc2ccc(C(=N)N)cc2F)nc2cc(C(=O)N(CCC(=O)O)c3c(C)cccc3C)ccc21,8.742321425130816
74,CHEMBL150960,2.0,nM,N=C(N)NCCC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)c1nccs1,8.698970004336019
75,CHEMBL424316,2.0,nM,N/C(=N\O)N1CCC(CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NS(=O)(=O)Cc2ccccc2)CC1,8.698970004336019
76,CHEMBL4107318,2.0,nM,COc1cc(C(=O)N2CC(C)OC[C@H]2CCO)cc2nc(N[C@H](CF)c3cccc(Cl)c3)oc12,8.698970004336019
77,CHEMBL4646369,2.0,nM,Nc1nccc2cc(CNC(=O)[C@@H]3CCCN3C(=O)[C@H](NC3CCCCC3)C3CCOCC3)ccc12,8.698970004336019
78,CHEMBL3742405,2.042,nM,CCn1c(CNc2ccc(C(=N)N)cc2F)nc2cc(C(=O)N(CCC(=O)O)c3ccc(F)c(Cl)c3)ccc21,8.689944262249108
79,CHEMBL79422,2.07,nM,N=C(N)N1CCC[C@H](NC(=O)CN2CCC[C@@](N)(Cc3ccccc3)C2=O)C1O.O=C(O)C(F)(F)F,8.684029654543082
80,CHEMBL82524,2.07,nM,N=C(N)N1CCC[C@H](NC(=O)CN2CCC[C@@](N)(Cc3ccccc3)C2=O)[C@H]1O,8.684029654543082
81,CHEMBL2419745,2.1,nM,N=C(N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NCC(=O)O)C(c2ccccc2)c2ccccc2)s1,8.67778070526608
82,CHEMBL3902879,2.13,nM,CCn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3cccc(C)c3)ccc21,8.671620396561263
83,CHEMBL382843,2.15,nM,N=C(N)c1csc(CNC(=O)[C@@H]2C=CCN2C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)c1Cl,8.667561540084394
84,CHEMBL3799750,2.16,nM,CCn1c(CNc2ccc(C(=N)N)cc2F)nc2cc(C(=O)N(CCC(=O)O)c3cccc(C)n3)ccc21,8.665546248849068
85,CHEMBL4074973,2.26,nM,Cc1cccc(N(CCC(=O)O)C(=O)c2ccc3c(c2)nc(CNc2ccc(C(=N)N)cc2F)n3C)c1,8.645891560852599
86,CHEMBL143024,2.3,nM,N#Cc1cnc(NCC(F)(F)c2ccccn2)c(=O)n1CC(=O)NCc1ncccc1F,8.638272163982407
87,CHEMBL106202,2.3,nM,CC(C)(C)OC(=O)N[C@@H](CC(=O)O)C(=O)N1CCCC1C(=O)N[C@@H](CCCN=C(N)N)C(=O)C(=O)NCCc1ccccc1,8.638272163982407
88,CHEMBL4112123,2.3,nM,CCO[C@@H]1CC(CO)N(C(=O)c2cc(OC)c3oc(N[C@@H](CF)c4cccc(Cl)c4)nc3c2)C1,8.638272163982407
89,CHEMBL39475,2.32,nM,Cc1ncc(NS(=O)(=O)Cc2ccccc2)c(=O)n1CC(=O)N[C@H]1CCCN(C(=N)N)C1O,8.6345120151091
90,CHEMBL1426908,2.36,nM,CCC(=O)n1nc(-c2cccnc2)nc1NCc1cccs1,8.627087997029893
91,CHEMBL3951743,2.4,nM,COc1cc(C(=O)N2CCC(O)C(C)C2)cc2nc(N[C@@H](CF)c3cccc(Cl)c3)oc12,8.619788758288394
92,CHEMBL539697,2.63,nM,CCCCCCOC(=O)/N=C(\N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1,8.580044251510243
93,CHEMBL207770,2.7,nM,N=C(N)c1csc(CNC(=O)[C@@H]2C=CCN2C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)c1,8.568636235841012
94,CHEMBL207187,2.7,nM,N=C(N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)cc1,8.568636235841012
95,CHEMBL1467264,2.9,nM,CCC(=O)n1nc(-c2cccnc2)nc1NCc1ccccc1,8.537602002101044
96,CHEMBL151087,3.0,nM,NC(N)=NCCC[C@H](NC(=O)[C@@H]1CCN1C(=O)[C@H](N)Cc1ccccc1)C(=O)c1nccs1,8.522878745280337
97,CHEMBL176660,3.0,nM,CN[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)NC(CCCN=C(N)N)C(=O)c1nc2ccc(O)cc2s1,8.522878745280337
98,CHEMBL584260,3.0,nM,CC1=C(CC(=O)NCc2ccc(C(=N)N)cc2)C(=O)N(NS(=O)(=O)c2c(C)cccc2Cl)CC1,8.522878745280337
99,CHEMBL4632660,3.0,nM,CC(C)C[C@@H](NC1CCCCC1)C(=O)N1CC[C@H]1C(=O)NCc1ccc2c(N)nccc2c1,8.522878745280337
100,CHEMBL130119,3.0,nM,NC1CCC(CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](N)C2CCCCC2)CC1,8.522878745280337
101,CHEMBL70473,3.0,nM,NC(N)=NCCC[C@H](NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@H](N)Cc1ccccc1)C(=O)CCl,8.522878745280337
102,CHEMBL3954784,3.1,nM,CCn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3c(C)cccc3C)ccc21,8.508638306165727
103,CHEMBL3903935,3.11,nM,CCn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccccc3C)ccc21,8.507239610973162
104,CHEMBL3906435,3.2,nM,COc1cc(C(=O)N2CCC(O)C(C)C2)cc2nc(NC(CF)c3cccc(Cl)c3)oc12,8.494850021680094
105,CHEMBL206891,3.2,nM,N=C(N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)cn1,8.494850021680094
106,CHEMBL4102667,3.2,nM,Cc1cc(N(CCC(=O)O)C(=O)c2ccc3c(c2)nc(CNc2ccc(C(=N)N)cc2F)n3C)ccc1F,8.494850021680094
107,CHEMBL65219,3.2,nM,CN1CCN=C1c1ccc(C(=O)N2CCN(S(=O)(=O)c3cc4ccc(Cl)cc4s3)CC2CC(=O)N2CCOCC2)cc1,8.494850021680094
108,CHEMBL3798146,3.236,nM,CCn1c(CNc2ccc(C(=N)N)cc2F)nc2cc(C(=O)N(CCC(=O)O)c3ccc(F)cc3F)ccc21,8.489991487059765
109,CHEMBL3415214,3.236,nM,Cn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccccc3F)ccc21,8.489991487059765
110,CHEMBL391986,3.3,nM,CC[C@H](C)[C@@H](NC(=O)[C@H](O)Cc1ccccc1)C(=O)N1[C@H](C(=O)NCc2ccc(C(=N)N)cc2)C[C@@H]2CCCC[C@@H]21,8.481486060122112
